"name","icc","icc_low","icc_up","icc_panel","icc_panel_low","icc_panel_up"
"rlm_hgre_3d_v_mrg_fbn_n32",0.88832649205843,0.869230141970352,0.906279878765938,0.993753650422198,0.992533995120253,0.994856002689289
"rlm_srlge_3d_v_mrg_fbn_n32",0.861929772537531,0.839091437272814,0.88360191941658,0.992054273816433,0.990502800120175,0.993456531112961
"rlm_srhge_3d_v_mrg_fbn_n32",0.924947600076174,0.911524697311976,0.937405178276295,0.995959277369506,0.99517029034299,0.996672381831068
"rlm_lrlge_3d_v_mrg_fbn_n32",0.905622523062399,0.889135348906888,0.921028651467142,0.994816369042536,0.993804219001644,0.995731173324068
"rlm_lrhge_3d_v_mrg_fbn_n32",0.924873332792009,0.911438350838599,0.93734244814192,0.995954971613212,0.99516514384949,0.996668835952229
"rlm_glnu_3d_v_mrg_fbn_n32",0.976859341986081,0.972459141812924,0.980868970474032,0.998816959582267,0.998585960420287,0.999025741891086
"rlm_glnu_norm_3d_v_mrg_fbn_n32",0.915132280296379,0.900133267160133,0.9291008973121,0.995384491736285,0.994483272703489,0.996199034043741
"rlm_rlnu_3d_v_mrg_fbn_n32",0.91421809159135,0.89907435975432,0.928326033560778,0.995330362700387,0.994418574491979,0.996154457669713
"rlm_rlnu_norm_3d_v_mrg_fbn_n32",0.95962451208968,0.952099588651752,0.96652334632901,0.997900703489654,0.997490797177606,0.998271186159356
"rlm_r_perc_3d_v_mrg_fbn_n32",0.959026403408294,0.951395360764948,0.966024004417653,0.997868345704393,0.997452121247025,0.998244538857873
"rlm_gl_var_3d_v_mrg_fbn_n32",0.90338340703907,0.886551382670897,0.919124198636876,0.994680958024103,0.993642367777693,0.995619659566155
"rlm_rl_var_3d_v_mrg_fbn_n32",0.939745780471366,0.928776665342098,0.949873031212879,0.996804366119466,0.996180390186496,0.997368329792828
"rlm_rl_entr_3d_v_mrg_fbn_n32",0.854014311350524,0.830109889779663,0.876761484241585,0.991525404372796,0.989870664214594,0.993020996251855
"szm_sze_3d_fbn_n32",0.800753147744085,0.770336666252946,0.830245501226769,0.987711666137759,0.985312259674756,0.989880304399688
"szm_lze_3d_fbn_n32",0.868424440857003,0.846480062998644,0.889200658925003,0.992481424278569,0.991013355508562,0.993808298301321
"szm_lgze_3d_fbn_n32",0.798330746582374,0.767645154244685,0.828109439592733,0.987526861161687,0.985091369883691,0.989728113702052
"szm_hgze_3d_fbn_n32",0.919103874459655,0.904737683689249,0.932464413897385,0.995618467142487,0.994762933888424,0.9963917176016
"szm_szlge_3d_fbn_n32",0.779999016144413,0.747352243480157,0.811886208018269,0.986093473842361,0.983378100943592,0.988547689772207
"szm_szhge_3d_fbn_n32",0.925997872760892,0.912746042678658,0.938292125603454,0.996020098521193,0.995242987365407,0.996722469300047
"szm_lzlge_3d_fbn_n32",0.871702337194612,0.850215747597699,0.892021643360932,0.992694730280061,0.99126831140371,0.993983960179409
"szm_lzhge_3d_fbn_n32",0.865949044041605,0.843661892008673,0.887068210036271,0.99231933126508,0.990819612392746,0.993674811371861
"szm_glnu_3d_fbn_n32",0.914723434734231,0.899659656469377,0.928754390759826,0.995360296671163,0.994454353336743,0.99617910891013
"szm_glnu_norm_3d_fbn_n32",0.71882268432557,0.680580363717127,0.756988935439182,0.980817001353595,0.977071350279336,0.984202406186301
"szm_zsnu_3d_fbn_n32",0.888342725642016,0.869248765786963,0.906293762430625,0.993754666177644,0.992535209210982,0.994856839184784
"szm_zsnu_norm_3d_fbn_n32",0.809993147177127,0.780624614911368,0.838376832780486,0.98840705538338,0.986143429854469,0.9904529717416
"szm_z_perc_3d_fbn_n32",0.964843089750212,0.95825065723673,0.9708758968432,0.998181415464892,0.997826320662296,0.998502358242782
"szm_gl_var_3d_fbn_n32",0.770421062343385,0.736802262232571,0.803368651548645,0.985319162620051,0.982452598569412,0.987910028559749
"szm_zs_var_3d_fbn_n32",0.868749516361932,0.846850340177019,0.889480563181632,0.992502646053142,0.991038721023339,0.99382577486903
"szm_zs_entr_3d_fbn_n32",0.93641482161597,0.924885213447552,0.947072065100337,0.996616348500843,0.995955660455854,0.997213493417995
